ExpKey,ExpId,YearsAtCompany,YearsOfExperience,Education
281,NA2427,24,27,
282,NA1822,18,22,
283,NA1117,11,17,
284,NA128,1,28,
285,NA127,1,27,
286,NA421,4,21,
287,NA40,4,0,
288,NA133,1,33,
289,NA1017,10,17,
290,NA1618,16,18,
291,NA53,5,3,
292,NA52,5,2,
293,NA1011,10,11,
294,NA2023,20,23,
295,NA916,9,16,
296,NA1022,10,22,
297,NA825,8,25,
298,NA1322,13,22,
299,NA1222,12,22,
300,NA1224,12,24,
301,NA322,3,22,
302,NA105,10,5,
303,NA1717,17,17,
304,NA2021,20,21,
305,NA1517,15,17,
306,NA1821,18,21,
307,NA1318,13,18,
308,NA1721,17,21,
309,NA224,2,24,
310,NA1122,11,22,
311,NA2026,20,26,
312,NA1026,10,26,
313,MASTER'SDEGREE00,0,0,Master's Degree
314,NA2029,20,29,
315,NA222,2,22,
316,NA1825,18,25,
317,NA2123,21,23,
318,NA108,10,8,
319,NA104,10,4,
320,NA1430,14,30,
321,NA2025,20,25,
322,NA238,23,8,
323,NA424,4,24,
324,NA017,0,17,
325,NA1123,11,23,
326,NA2521,25,21,
327,NA522,5,22,
328,PHD33,3,3,PhD
329,NA230,2,30,
330,NA519,5,19,
331,NA430,4,30,
332,NA1124,11,24,
333,NA1021,10,21,
334,NA1419,14,19,
335,NA1229,12,29,
336,NA2424,24,24,
337,NA54,5,4,
338,NA92,9,2,
339,NA1512,15,12,
340,NA1416,14,16,
341,NA1720,17,20,
342,NA030,0,30,
343,NA1040,10,40,
344,NA2030,20,30,
345,PHD925,9,25,PhD
346,NA81,8,1,
347,NA228,2,28,
348,NA87,8,7,
349,MASTER'SDEGREE02,0,2,Master's Degree
350,NA524,5,24,
351,NA529,5,29,
352,NA1035,10,35,
353,NA235,2,35,
354,NA107,10,7,
355,NA1130,11,30,
356,NA3035,30,35,
357,NA1719,17,19,
358,NA2033,20,33,
359,NA3434,34,34,
360,NA1729,17,29,
361,NA535,5,35,
362,NA725,7,25,
363,NA630,6,30,
364,NA2139,21,39,
365,PHD00,0,0,PhD
366,NA1228,12,28,
367,NA435,4,35,
368,PHD11,1,1,PhD
369,NA629,6,29,
370,NA824,8,24,
371,NA1622,16,22,
372,NA1119,11,19,
373,NA533,5,33,
374,NA60,6,0,
375,NA330,3,30,
376,NA122,1,22,
377,NA532,5,32,
378,NA76,7,6,
379,NA022,0,22,
380,PHD03,0,3,PhD
381,NA1531,15,31,
382,NA71,7,1,
383,PHD22,2,2,PhD
384,NA1425,14,25,
385,NA035,0,35,
386,NA207,20,7,
387,NA126,12,6,
388,NA442,4,42,
389,NA1030,10,30,
390,NA1926,19,26,
391,NA2125,21,25,
392,NA130,1,30,
393,NA64,6,4,
394,NA627,6,27,
395,NA1422,14,22,
396,NA1217,12,17,
397,NA83,8,3,
398,NA142,14,2,
399,NA194,19,4,
400,NA94,9,4,
401,NA1930,19,30,
402,PHD12,1,2,PhD
403,NA2024,20,24,
404,NA1824,18,24,
405,NA328,3,28,
406,NA1135,11,35,
407,NA1519,15,19,
408,NA2028,20,28,
409,NA1223,12,23,
410,NA1330,13,30,
411,NA541,5,41,
412,NA1141,11,41,
413,NA823,8,23,
414,NA722,7,22,
415,NA1028,10,28,
416,NA173,17,3,
417,PHD88,8,8,PhD
418,NA2530,25,30,
419,NA152,15,2,
420,NA61,6,1,
421,NA2233,22,33,
422,NA1221,12,21,
423,PHD45,4,5,PhD
424,NA1510,15,10,
425,NA918,9,18,
426,MASTER'SDEGREE18,1,8,Master's Degree
427,MASTER'SDEGREE05,0,5,Master's Degree
428,MASTER'SDEGREE015,0,15,Master's Degree
429,MASTER'SDEGREE55,5,5,Master's Degree
430,MASTER'SDEGREE01,0,1,Master's Degree
431,MASTER'SDEGREE37,3,7,Master's Degree
432,MASTER'SDEGREE07,0,7,Master's Degree
433,MASTER'SDEGREE08,0,8,Master's Degree
434,MASTER'SDEGREE44,4,4,Master's Degree
435,MASTER'SDEGREE625,6,25,Master's Degree
436,MASTER'SDEGREE225,2,25,Master's Degree
437,MASTER'SDEGREE417,4,17,Master's Degree
438,MASTER'SDEGREE319,3,19,Master's Degree
439,MASTER'SDEGREE39,3,9,Master's Degree
440,MASTER'SDEGREE03,0,3,Master's Degree
441,MASTER'SDEGREE33,3,3,Master's Degree
442,MASTER'SDEGREE23,2,3,Master's Degree
443,MASTER'SDEGREE26,2,6,Master's Degree
444,MASTER'SDEGREE110,1,10,Master's Degree
445,MASTER'SDEGREE120,1,20,Master's Degree
446,MASTER'SDEGREE815,8,15,Master's Degree
447,MASTER'SDEGREE312,3,12,Master's Degree
448,MASTER'SDEGREE09,0,9,Master's Degree
449,MASTER'SDEGREE515,5,15,Master's Degree
450,MASTER'SDEGREE1212,12,12,Master's Degree
451,MASTER'SDEGREE1319,13,19,Master's Degree
452,MASTER'SDEGREE520,5,20,Master's Degree
453,MASTER'SDEGREE421,4,21,Master's Degree
454,MASTER'SDEGREE010,0,10,Master's Degree
455,MASTER'SDEGREE310,3,10,Master's Degree
456,MASTER'SDEGREE113,1,13,Master's Degree
457,MASTER'SDEGREE06,0,6,Master's Degree
458,MASTER'SDEGREE415,4,15,Master's Degree
459,MASTER'SDEGREE11,1,1,Master's Degree
460,MASTER'SDEGREE17,1,7,Master's Degree
461,MASTER'SDEGREE12,1,2,Master's Degree
462,MASTER'SDEGREE1010,10,10,Master's Degree
463,BACHELOR'SDEGREE12,1,2,Bachelor's Degree
464,MASTER'SDEGREE25,2,5,Master's Degree
465,MASTER'SDEGREE1111,11,11,Master's Degree
466,MASTER'SDEGREE24,2,4,Master's Degree
467,MASTER'SDEGREE212,2,12,Master's Degree
468,MASTER'SDEGREE510,5,10,Master's Degree
469,MASTER'SDEGREE28,2,8,Master's Degree
470,MASTER'SDEGREE45,4,5,Master's Degree
471,MASTER'SDEGREE41,4,1,Master's Degree
472,MASTER'SDEGREE420,4,20,Master's Degree
473,MASTER'SDEGREE38,3,8,Master's Degree
474,PHD112,1,12,PhD
475,MASTER'SDEGREE114,1,14,Master's Degree
476,PHD510,5,10,PhD
477,PHD28,2,8,PhD
478,PHD25,2,5,PhD
479,MASTER'SDEGREE15,1,5,Master's Degree
