JobKey,JobId,JobTitle,JobLevel,JobTag
1159,SolutionArchitectSolutionArchitect,Solution Architect,Solution Architect,Hadoop
1160,SolutionArchitectArchitect,Solution Architect,Architect,Full Stack
1161,HardwareEngineerE5,Hardware Engineer,E5,Hardware
1162,SolutionArchitectL64,Solution Architect,L64,Azure IaaS
1163,SoftwareEngineeri7,Software Engineer,i7,Distributed Systems (Back-End)
1164,SolutionArchitectSeniorconsultant,Solution Architect,Senior consultant,Full Stack
1165,HardwareEngineerIC6,Hardware Engineer,IC6,iOS
1166,SoftwareEngineeringManagersrstaffmgr,Software Engineering Manager,sr staff mgr,modem
1167,HardwareEngineerTechnologist,Hardware Engineer,Technologist,Applications
1168,DataScientistT4,Data Scientist,T4,Data Science
1169,SoftwareEngineerFellowSWE,Software Engineer,Fellow SWE,Full Stack
1170,SoftwareEngineer87,Software Engineer,87,Web Development (Front-End)
1171,DataScientistBand2,Data Scientist,Band 2,ML / AI
1172,DataScientistCore,Data Scientist,Core,ML / AI
1173,SoftwareEngineeringManagerSDM3,Software Engineering Manager,SDM3,Software Engineering Manager
1174,SoftwareEngineerECB4,Software Engineer,ECB4,Distributed Systems (Back-End)
1175,SoftwareEngineert9,Software Engineer,t9,DevOps
1176,ProductManagerGrade12,Product Manager,Grade 12,DPE
1177,SoftwareEngineerGrade14,Software Engineer,Grade 14,Full Stack
1178,SoftwareEngineeringManagerGrade14,Software Engineering Manager,Grade 14,Distributed Systems (Back-End)
1179,HardwareEngineer61,Hardware Engineer,61,Design Verification
1180,SalesSenior,Sales,Senior,Telecom
1181,SoftwareEngineerPrincipleEngineer,Software Engineer,Principle Engineer,iOS
1182,MarketingIC5,Marketing,IC5,None
1183,SoftwareEngineerPR2,Software Engineer,PR2,API Development (Back-End)
1184,ProductManagerP7,Product Manager,P7,Android
1185,SoftwareEngineerD3,Software Engineer,D3,Distributed Systems (Back-End)
1186,SoftwareEngineerSrInfrastructureEngineer,Software Engineer,Sr Infrastructure Engineer,Security
1187,SoftwareEngineerMemberofTechnicalStaff(MTS3),Software Engineer,Member of Technical Staff (MTS 3),DevOps
1188,SoftwareEngineerPR3,Software Engineer,PR3,Full Stack
1189,HardwareEngineerSeniorMemberofTechnicalStaff,Hardware Engineer,Senior Member of Technical Staff,iOS
1190,SoftwareEngineeringManagerT2,Software Engineering Manager,T2,Full Stack
1191,SoftwareEngineerPrincipalEng,Software Engineer,Principal Eng,Distributed Systems (Back-End)
1192,HardwareEngineerIC3,Hardware Engineer,IC3,VLSI
1193,HumanResourcesL6,Human Resources,L6,Other
1194,SolutionArchitectprincipalconsultant,Solution Architect,principal consultant,ETL
1195,SoftwareEngineerprincipalsoftwareengineer,Software Engineer,principal software engineer,Distributed Systems (Back-End)
1196,SoftwareEngineerMastery,Software Engineer,Mastery,Web Development (Front-End)
1197,SolutionArchitectIc6,Solution Architect,Ic6,Full Stack
1198,SoftwareEngineerG10,Software Engineer,G10,Networking
1199,DataScientistPrincipalPM,Data Scientist,Principal PM,Distributed Systems (Back-End)
1200,ProductManagerPrincipalOfferingManager,Product Manager,Principal Offering Manager,Storage
1201,HardwareEngineerICB3,Hardware Engineer,ICB 3,iOS
1202,SoftwareEngineerMemberofTechnicalStaff(MTS1),Software Engineer,Member of Technical Staff (MTS 1),Propel
1203,SoftwareEngineerDevII,Software Engineer,Dev II,Full Stack
1204,HardwareEngineer502,Hardware Engineer,502,Networking
1205,SoftwareEngineeringManagerseniormanagerofengineering,Software Engineering Manager,senior manager of engineering,DevOps
