,,,NA22,,,,,1
,,,NA35,,,,,2
,,,NA08,,,,,3
,,,NA57,,,,,4
,,,NA35,,,,,2
,,,NA88,,,,,5
,,,NA1115,,,,,6
,,,NA44,,,,,7
,,,NA13,,,,,8
,,,NA612,,,,,9
,,,NA316,,,,,10
,,,NA35,,,,,2
,,,NA1010,,,,,11
,,,NA77,,,,,12
,,,NA112,,,,,13
,,,NA010,,,,,14
,,,NA11,,,,,15
,,,NA19,,,,,16
,,,NA22,,,,,1
,,,NA99,,,,,17
,,,NA78,,,,,18
,,,NA1515,,,,,19
,,,NA1212,,,,,20
,,,NA1212,,,,,20
,,,NA617,,,,,21
,,,NA114,,,,,22
,,,NA23,,,,,23
,,,NA66,,,,,24
,,,NA48,,,,,25
,,,NA1214,,,,,26
,,,NA712,,,,,27
,,,NA24,,,,,28
,,,NA25,,,,,29
,,,NA29,,,,,30
,,,NA27,,,,,31
,,,NA18,,,,,32
,,,NA07,,,,,33
,,,NA18,,,,,32
,,,NA920,,,,,34
,,,NA1728,,,,,35
,,,NA112,,,,,13
,,,NA213,,,,,36
,,,NA112,,,,,13
,,,NA312,,,,,37
,,,NA15,,,,,38
,,,NA15,,,,,38
,,,PHD14,,,,,39
,,,NA110,,,,,40
,,,NA11,,,,,15
,,,NA29,,,,,30
,,,NA319,,,,,41
,,,NA33,,,,,42
,,,NA29,,,,,30
,,,NA25,,,,,29
,,,NA26,,,,,43
,,,NA00,,,,,44
,,,NA33,,,,,42
,,,NA46,,,,,45
,,,NA44,,,,,7
,,,NA22,,,,,1
,,,NA11,,,,,15
,,,NA19,,,,,16
,,,NA611,,,,,46
,,,NA914,,,,,47
,,,NA23,,,,,23
,,,NA25,,,,,29
,,,NA55,,,,,48
,,,NA55,,,,,48
,,,NA615,,,,,49
,,,NA414,,,,,50
,,,NA310,,,,,51
,,,NA310,,,,,51
,,,NA28,,,,,52
,,,NA58,,,,,53
,,,NA714,,,,,54
,,,NA213,,,,,36
,,,NA05,,,,,55
,,,NA1323,,,,,56
,,,NA17,,,,,57
,,,NA58,,,,,53
,,,NA110,,,,,40
,,,NA56,,,,,58
,,,NA19,,,,,16
,,,NA00,,,,,44
,,,NA412,,,,,59
,,,NA914,,,,,47
,,,NA04,,,,,60
,,,NA010,,,,,14
,,,NA67,,,,,61
,,,NA24,,,,,28
,,,NA44,,,,,7
,,,NA311,,,,,62
,,,NA00,,,,,44
,,,NA17,,,,,57
,,,NA00,,,,,44
,,,NA11,,,,,15
,,,NA11,,,,,15
,,,NA16,,,,,63
,,,NA45,,,,,64
,,,NA410,,,,,65
,,,NA15,,,,,38
,,,NA15,,,,,38
,,,NA610,,,,,66
,,,NA18,,,,,32
,,,NA13,,,,,8
,,,NA14,,,,,67
,,,NA88,,,,,5
,,,NA110,,,,,40
,,,NA00,,,,,44
,,,NA01,,,,,68
,,,NA310,,,,,51
,,,NA1010,,,,,11
,,,NA09,,,,,69
,,,NA215,,,,,70
,,,NA610,,,,,66
,,,NA412,,,,,59
,,,NA510,,,,,71
,,,NA00,,,,,44
,,,NA511,,,,,72
,,,NA22,,,,,1
,,,NA34,,,,,73
,,,NA01,,,,,68
,,,NA00,,,,,44
,,,NA1922,,,,,74
,,,NA120,,,,,75
,,,NA46,,,,,45
,,,NA77,,,,,12
,,,NA316,,,,,10
,,,NA418,,,,,76
,,,NA25,,,,,29
,,,NA36,,,,,77
,,,NA33,,,,,42
,,,NA01,,,,,68
,,,NA23,,,,,23
,,,NA00,,,,,44
,,,NA22,,,,,1
,,,NA14,,,,,67
,,,NA14,,,,,67
,,,NA314,,,,,78
,,,NA710,,,,,79
,,,NA37,,,,,80
,,,NA55,,,,,48
,,,NA01,,,,,68
,,,NA313,,,,,81
,,,NA28,,,,,52
,,,NA610,,,,,66
,,,NA33,,,,,42
,,,NA520,,,,,82
,,,NA28,,,,,52
,,,NA44,,,,,7
,,,NA33,,,,,42
,,,NA212,,,,,83
,,,NA44,,,,,7
,,,NA28,,,,,52
,,,NA00,,,,,44
,,,NA615,,,,,49
,,,NA25,,,,,29
,,,NA46,,,,,45
,,,NA00,,,,,44
,,,NA210,,,,,84
,,,NA48,,,,,25
,,,NA510,,,,,71
,,,NA26,,,,,43
,,,NA00,,,,,44
,,,NA58,,,,,53
,,,NA88,,,,,5
,,,NA99,,,,,17
,,,NA010,,,,,14
,,,NA03,,,,,85
,,,NA38,,,,,86
,,,NA621,,,,,87
,,,NA613,,,,,88
,,,NA13,,,,,8
,,,NA325,,,,,89
,,,NA03,,,,,85
,,,NA00,,,,,44
,,,NA16,,,,,63
,,,NA22,,,,,1
,,,NA33,,,,,42
,,,NA214,,,,,90
,,,NA29,,,,,30
,,,NA215,,,,,70
,,,NA00,,,,,44
,,,NA11,,,,,15
,,,NA110,,,,,40
,,,NA01,,,,,68
,,,NA35,,,,,2
,,,NA13,,,,,8
,,,NA311,,,,,62
,,,NA1315,,,,,91
,,,NA25,,,,,29
,,,NA17,,,,,57
,,,NA415,,,,,92
,,,NA44,,,,,7
,,,NA28,,,,,52
,,,NA48,,,,,25
,,,NA55,,,,,48
,,,NA00,,,,,44
,,,NA35,,,,,2
,,,NA28,,,,,52
,,,NA55,,,,,48
,,,NA114,,,,,22
,,,NA510,,,,,71
,,,NA110,,,,,40
,,,NA19,,,,,16
,,,NA110,,,,,40
,,,NA310,,,,,51
,,,NA59,,,,,93
,,,NA88,,,,,5
,,,NA020,,,,,94
,,,NA715,,,,,95
,,,NA22,,,,,1
,,,NA1120,,,,,96
,,,NA917,,,,,97
,,,NA119,,,,,98
,,,NA118,,,,,99
,,,NA11,,,,,15
,,,NA18,,,,,32
,,,NA17,,,,,57
,,,NA210,,,,,84
,,,NA24,,,,,28
,,,NA09,,,,,69
,,,NA13,,,,,8
,,,NA00,,,,,44
,,,NA33,,,,,42
,,,NA24,,,,,28
,,,NA44,,,,,7
,,,NA16,,,,,63
,,,NA315,,,,,100
,,,NA11,,,,,15
,,,NA813,,,,,101
,,,NA310,,,,,51
,,,NA210,,,,,84
,,,NA48,,,,,25
,,,NA46,,,,,45
,,,NA22,,,,,1
,,,NA08,,,,,3
,,,NA38,,,,,86
,,,NA112,,,,,13
,,,NA25,,,,,29
,,,NA39,,,,,102
,,,NA02,,,,,103
,,,NA47,,,,,104
,,,NA03,,,,,85
,,,NA212,,,,,83
,,,NA00,,,,,44
,,,NA210,,,,,84
,,,NA1014,,,,,105
,,,NA937,,,,,106
,,,NA27,,,,,31
,,,NA01,,,,,68
,,,NA28,,,,,52
,,,NA310,,,,,51
,,,NA07,,,,,33
,,,NA14,,,,,67
,,,NA26,,,,,43
,,,NA13,,,,,8
,,,NA220,,,,,107
,,,NA516,,,,,108
,,,NA66,,,,,24
,,,NA00,,,,,44
,,,NA15,,,,,38
,,,NA25,,,,,29
,,,NA113,,,,,109
,,,NA44,,,,,7
,,,NA212,,,,,83
,,,NA27,,,,,31
,,,NA113,,,,,109
,,,NA16,,,,,63
,,,NA04,,,,,60
,,,NA411,,,,,110
,,,NA00,,,,,44
,,,NA03,,,,,85
,,,NA00,,,,,44
,,,NA39,,,,,102
,,,NA13,,,,,8
,,,NA515,,,,,111
,,,NA010,,,,,14
,,,NA114,,,,,22
,,,NA13,,,,,8
,,,NA25,,,,,29
,,,NA23,,,,,23
,,,NA67,,,,,61
,,,NA26,,,,,43
,,,NA112,,,,,13
,,,NA237,,,,,112
,,,NA78,,,,,18
,,,NA03,,,,,85
,,,NA218,,,,,113
,,,NA05,,,,,55
,,,NA63,,,,,114
,,,NA24,,,,,28
,,,NA1010,,,,,11
,,,NA33,,,,,42
,,,NA13,,,,,8
,,,NA311,,,,,62
,,,NA00,,,,,44
,,,NA114,,,,,22
,,,NA214,,,,,90
,,,NA838,,,,,115
,,,NA311,,,,,62
,,,NA03,,,,,85
,,,NA724,,,,,116
,,,NA45,,,,,64
,,,NA02,,,,,103
,,,NA02,,,,,103
,,,NA1313,,,,,117
,,,NA22,,,,,1
,,,NA44,,,,,7
,,,NA03,,,,,85
,,,NA28,,,,,52
,,,NA55,,,,,48
,,,NA1012,,,,,118
,,,NA55,,,,,48
,,,NA613,,,,,88
,,,NA24,,,,,28
,,,NA15,,,,,38
,,,NA88,,,,,5
,,,NA1010,,,,,11
,,,NA26,,,,,43
,,,NA420,,,,,119
,,,NA16,,,,,63
,,,NA37,,,,,80
,,,NA00,,,,,44
,,,NA1015,,,,,120
,,,NA110,,,,,40
,,,NA816,,,,,121
,,,NA55,,,,,48
,,,NA428,,,,,122
,,,NA39,,,,,102
,,,NA00,,,,,44
,,,NA55,,,,,48
,,,NA325,,,,,89
,,,NA315,,,,,100
,,,NA1111,,,,,123
,,,NA212,,,,,83
,,,NA714,,,,,54
,,,NA22,,,,,1
,,,NA48,,,,,25
,,,NA113,,,,,109
,,,NA88,,,,,5
,,,NA01,,,,,68
,,,NA012,,,,,124
,,,NA1830,,,,,125
,,,NA34,,,,,73
,,,NA04,,,,,60
,,,NA620,,,,,126
,,,NA310,,,,,51
,,,NA03,,,,,85
,,,NA08,,,,,3
,,,NA59,,,,,93
,,,NA25,,,,,29
,,,NA03,,,,,85
,,,NA013,,,,,127
,,,NA516,,,,,108
,,,NA02,,,,,103
,,,NA510,,,,,71
,,,NA210,,,,,84
,,,NA119,,,,,98
,,,NA20,,,,,128
,,,NA47,,,,,104
,,,NA110,,,,,40
,,,NA2020,,,,,129
,,,NA46,,,,,45
,,,NA17,,,,,57
,,,NA09,,,,,69
,,,NA015,,,,,130
,,,NA02,,,,,103
,,,NA31,,,,,131
,,,NA110,,,,,40
,,,NA44,,,,,7
,,,NA02,,,,,103
,,,NA420,,,,,119
,,,NA06,,,,,132
,,,NA418,,,,,76
,,,NA07,,,,,33
,,,NA1012,,,,,118
,,,NA19,,,,,16
,,,NA24,,,,,28
,,,NA218,,,,,113
,,,NA55,,,,,48
,,,NA212,,,,,83
,,,NA13,,,,,8
,,,NA00,,,,,44
,,,NA11,,,,,15
,,,NA22,,,,,1
,,,NA44,,,,,7
,,,NA77,,,,,12
,,,NA1015,,,,,120
,,,NA29,,,,,30
,,,NA014,,,,,133
,,,NA03,,,,,85
,,,NA110,,,,,40
,,,NA33,,,,,42
,,,NA915,,,,,134
,,,NA00,,,,,44
,,,NA00,,,,,44
,,,NA110,,,,,40
,,,NA22,,,,,1
,,,NA04,,,,,60
,,,NA33,,,,,42
,,,NA58,,,,,53
,,,NA18,,,,,32
,,,NA31,,,,,131
,,,NA33,,,,,42
,,,NA220,,,,,107
,,,NA712,,,,,27
,,,NA530,,,,,135
,,,NA18,,,,,32
,,,NA11,,,,,15
,,,NA1516,,,,,136
,,,NA615,,,,,49
,,,NA35,,,,,2
,,,NA00,,,,,44
,,,NA66,,,,,24
,,,NA33,,,,,42
,,,NA25,,,,,29
,,,NA110,,,,,40
,,,NA27,,,,,31
,,,NA04,,,,,60
,,,NA33,,,,,42
,,,NA44,,,,,7
,,,NA22,,,,,1
,,,NA36,,,,,77
,,,NA49,,,,,137
,,,NA58,,,,,53
,,,NA04,,,,,60
,,,NA02,,,,,103
,,,NA913,,,,,138
,,,NA08,,,,,3
,,,NA22,,,,,1
,,,NA312,,,,,37
,,,NA48,,,,,25
,,,NA110,,,,,40
,,,NA18,,,,,32
,,,NA01,,,,,68
,,,NA00,,,,,44
,,,NA116,,,,,139
,,,NA315,,,,,100
,,,NA412,,,,,59
,,,NA1111,,,,,123
,,,NA010,,,,,14
,,,NA012,,,,,124
,,,NA00,,,,,44
,,,NA510,,,,,71
,,,NA11,,,,,15
,,,NA19,,,,,16
,,,NA44,,,,,7
,,,NA33,,,,,42
,,,NA36,,,,,77
,,,NA36,,,,,77
,,,NA13,,,,,8
,,,NA211,,,,,140
,,,NA68,,,,,141
,,,NA44,,,,,7
,,,NA01,,,,,68
,,,NA02,,,,,103
,,,NA06,,,,,132
,,,NA47,,,,,104
,,,NA625,,,,,142
,,,NA312,,,,,37
,,,NA510,,,,,71
,,,NA312,,,,,37
,,,NA18,,,,,32
,,,NA210,,,,,84
,,,NA17,,,,,57
,,,NA00,,,,,44
,,,NA27,,,,,31
,,,NA215,,,,,70
,,,NA33,,,,,42
,,,NA010,,,,,14
,,,NA46,,,,,45
,,,NA915,,,,,134
,,,NA33,,,,,42
,,,NA312,,,,,37
,,,NA56,,,,,58
,,,NA27,,,,,31
,,,NA612,,,,,9
,,,NA79,,,,,143
,,,NA410,,,,,65
,,,NA00,,,,,44
,,,NA47,,,,,104
,,,NA03,,,,,85
,,,NA55,,,,,48
,,,NA77,,,,,12
,,,NA05,,,,,55
,,,NA114,,,,,22
,,,NA20,,,,,128
,,,NA05,,,,,55
,,,NA110,,,,,40
,,,NA22,,,,,1
,,,NA1414,,,,,144
,,,NA27,,,,,31
,,,NA24,,,,,28
,,,NA77,,,,,12
,,,NA38,,,,,86
,,,NA513,,,,,145
,,,NA1010,,,,,11
,,,NA11,,,,,15
,,,NA03,,,,,85
,,,NA04,,,,,60
,,,NA15,,,,,38
,,,NA11,,,,,15
,,,NA55,,,,,48
,,,NA1313,,,,,117
,,,NA015,,,,,130
,,,NA07,,,,,33
,,,NA00,,,,,44
,,,NA12,,,,,146
,,,NA1111,,,,,123
,,,NA010,,,,,14
,,,NA110,,,,,40
,,,NA02,,,,,103
,,,NA13,,,,,8
,,,NA69,,,,,147
,,,NA33,,,,,42
,,,NA18,,,,,32
,,,NA27,,,,,31
,,,NA22,,,,,1
,,,NA412,,,,,59
,,,NA113,,,,,109
,,,NA22,,,,,1
,,,NA22,,,,,1
,,,NA38,,,,,86
,,,NA36,,,,,77
,,,NA08,,,,,3
,,,NA38,,,,,86
,,,NA33,,,,,42
,,,NA420,,,,,119
,,,NA612,,,,,9
,,,NA58,,,,,53
,,,NA37,,,,,80
,,,NA13,,,,,8
,,,NA55,,,,,48
,,,NA55,,,,,48
,,,NA14,,,,,67
,,,NA15,,,,,38
,,,NA22,,,,,1
,,,NA22,,,,,1
,,,NA320,,,,,148
,,,NA55,,,,,48
,,,NA612,,,,,9
,,,NA15,,,,,38
,,,NA211,,,,,140
,,,NA04,,,,,60
,,,NA00,,,,,44
,,,NA29,,,,,30
,,,NA115,,,,,149
,,,NA411,,,,,110
,,,NA33,,,,,42
,,,NA33,,,,,42
,,,NA15,,,,,38
,,,NA1518,,,,,150
,,,NA12,,,,,146
,,,NA02,,,,,103
,,,NA11,,,,,15
,,,NA36,,,,,77
,,,NA110,,,,,40
,,,NA38,,,,,86
,,,NA02,,,,,103
,,,NA77,,,,,12
,,,NA020,,,,,94
,,,NA36,,,,,77
,,,NA110,,,,,40
,,,NA15,,,,,38
,,,NA33,,,,,42
,,,NA35,,,,,2
,,,NA39,,,,,102
,,,NA611,,,,,46
,,,NA2121,,,,,151
,,,NA611,,,,,46
,,,NA66,,,,,24
,,,NA1010,,,,,11
,,,NA44,,,,,7
,,,NA18,,,,,32
,,,NA313,,,,,81
,,,NA110,,,,,40
,,,NA410,,,,,65
,,,NA112,,,,,13
,,,NA010,,,,,14
,,,NA17,,,,,57
,,,NA117,,,,,152
,,,NA68,,,,,141
,,,NA22,,,,,1
,,,NA14,,,,,67
,,,NA510,,,,,71
,,,NA33,,,,,42
,,,NA112,,,,,13
,,,NA08,,,,,3
,,,NA22,,,,,1
,,,NA25,,,,,29
,,,NA1818,,,,,153
,,,NA11,,,,,15
,,,NA1313,,,,,117
,,,NA04,,,,,60
,,,NA110,,,,,40
,,,NA613,,,,,88
,,,NA00,,,,,44
,,,NA820,,,,,154
,,,NA04,,,,,60
,,,NA22,,,,,1
,,,NA412,,,,,59
,,,NA112,,,,,13
,,,NA410,,,,,65
,,,NA68,,,,,141
,,,NA44,,,,,7
,,,NA12,,,,,146
,,,NA13,,,,,8
,,,NA45,,,,,64
,,,NA10,,,,,155
,,,NA08,,,,,3
,,,NA1215,,,,,156
,,,NA28,,,,,52
,,,NA510,,,,,71
,,,NA45,,,,,64
,,,NA01,,,,,68
,,,NA04,,,,,60
,,,NA15,,,,,38
,,,NA015,,,,,130
,,,NA313,,,,,81
,,,NA613,,,,,88
,,,NA013,,,,,127
,,,NA00,,,,,44
,,,NA14,,,,,67
,,,NA55,,,,,48
,,,NA12,,,,,146
,,,NA15,,,,,38
,,,NA35,,,,,2
,,,NA812,,,,,157
,,,NA1515,,,,,19
,,,NA1212,,,,,20
,,,NA19,,,,,16
,,,NA24,,,,,28
,,,NA04,,,,,60
,,,NA47,,,,,104
,,,NA16,,,,,63
,,,NA28,,,,,52
,,,NA24,,,,,28
,,,NA36,,,,,77
,,,NA320,,,,,148
,,,NA14,,,,,67
,,,NA14,,,,,67
,,,NA33,,,,,42
,,,NA16,,,,,63
,,,NA77,,,,,12
,,,NA00,,,,,44
,,,NA1015,,,,,120
,,,NA121,,,,,158
,,,NA310,,,,,51
,,,NA310,,,,,51
,,,NA11,,,,,15
,,,NA45,,,,,64
,,,NA1019,,,,,159
,,,NA516,,,,,108
,,,NA22,,,,,1
,,,NA33,,,,,42
,,,NA77,,,,,12
,,,NA03,,,,,85
,,,NA45,,,,,64
,,,NA49,,,,,137
,,,NA710,,,,,79
,,,NA06,,,,,132
,,,NA24,,,,,28
,,,NA46,,,,,45
,,,NA68,,,,,141
,,,NA18,,,,,32
,,,NA420,,,,,119
,,,NA17,,,,,57
,,,NA66,,,,,24
,,,NA415,,,,,92
,,,NA44,,,,,7
,,,NA04,,,,,60
,,,NA36,,,,,77
,,,NA17,,,,,57
,,,NA1616,,,,,160
,,,NA04,,,,,60
,,,NA11,,,,,15
,,,NA11,,,,,15
,,,NA04,,,,,60
,,,NA22,,,,,1
,,,NA11,,,,,15
,,,NA04,,,,,60
,,,NA99,,,,,17
,,,NA516,,,,,108
,,,NA210,,,,,84
,,,NA57,,,,,4
,,,NA315,,,,,100
,,,NA48,,,,,25
,,,NA34,,,,,73
,,,NA01,,,,,68
,,,NA48,,,,,25
,,,NA47,,,,,104
,,,NA66,,,,,24
,,,NA26,,,,,43
,,,NA39,,,,,102
,,,NA215,,,,,70
,,,NA215,,,,,70
,,,NA215,,,,,70
,,,NA210,,,,,84
,,,NA515,,,,,111
,,,NA18,,,,,32
,,,NA44,,,,,7
,,,NA220,,,,,107
,,,NA07,,,,,33
,,,NA03,,,,,85
,,,NA06,,,,,132
,,,NA212,,,,,83
,,,NA00,,,,,44
,,,NA05,,,,,55
,,,NA34,,,,,73
,,,NA36,,,,,77
,,,NA26,,,,,43
,,,NA35,,,,,2
,,,NA28,,,,,52
,,,NA112,,,,,13
,,,NA22,,,,,1
,,,NA121,,,,,158
,,,PHD04,,,,,161
,,,NA112,,,,,13
,,,NA010,,,,,14
,,,NA00,,,,,44
,,,NA33,,,,,42
,,,NA57,,,,,4
,,,NA317,,,,,162
,,,NA317,,,,,162
,,,NA01,,,,,68
,,,NA312,,,,,37
,,,NA512,,,,,163
,,,NA01,,,,,68
,,,NA110,,,,,40
,,,NA312,,,,,37
,,,NA312,,,,,37
,,,NA00,,,,,44
,,,NA215,,,,,70
,,,NA55,,,,,48
,,,NA27,,,,,31
,,,NA44,,,,,7
,,,NA16,,,,,63
,,,NA35,,,,,2
,,,NA12,,,,,146
,,,NA14,,,,,67
,,,NA215,,,,,70
,,,NA316,,,,,10
,,,NA33,,,,,42
,,,NA03,,,,,85
,,,NA514,,,,,164
,,,NA35,,,,,2
,,,NA33,,,,,42
,,,NA15,,,,,38
,,,NA11,,,,,15
,,,NA11,,,,,15
,,,NA23,,,,,23
,,,NA1125,,,,,165
,,,NA30,,,,,166
,,,NA312,,,,,37
,,,NA315,,,,,100
,,,NA06,,,,,132
,,,NA33,,,,,42
,,,NA33,,,,,42
,,,NA220,,,,,107
,,,NA17,,,,,57
,,,NA03,,,,,85
,,,NA11,,,,,15
,,,NA415,,,,,92
,,,NA06,,,,,132
,,,NA22,,,,,1
,,,NA1111,,,,,123
,,,NA00,,,,,44
,,,NA58,,,,,53
,,,NA00,,,,,44
,,,NA14,,,,,67
,,,NA23,,,,,23
,,,NA730,,,,,167
,,,NA210,,,,,84
,,,NA00,,,,,44
,,,NA710,,,,,79
,,,NA110,,,,,40
,,,NA110,,,,,40
,,,NA33,,,,,42
,,,NA04,,,,,60
,,,NA115,,,,,149
,,,NA17,,,,,57
,,,NA16,,,,,63
,,,NA36,,,,,77
,,,NA02,,,,,103
,,,NA45,,,,,64
,,,NA36,,,,,77
,,,NA88,,,,,5
,,,NA22,,,,,1
,,,NA00,,,,,44
,,,NA610,,,,,66
,,,NA812,,,,,157
,,,NA413,,,,,168
,,,NA13,,,,,8
,,,NA15,,,,,38
,,,NA01,,,,,68
,,,NA33,,,,,42
,,,NA44,,,,,7
,,,NA01,,,,,68
,,,NA320,,,,,148
,,,NA420,,,,,119
,,,NA04,,,,,60
,,,NA418,,,,,76
,,,NA22,,,,,1
,,,NA22,,,,,1
,,,NA22,,,,,1
,,,NA02,,,,,103
,,,NA44,,,,,7
,,,NA55,,,,,48
,,,NA1012,,,,,118
,,,NA22,,,,,1
,,,NA22,,,,,1
,,,NA44,,,,,7
,,,NA13,,,,,8
,,,NA22,,,,,1
,,,NA00,,,,,44
,,,NA22,,,,,1
,,,NA22,,,,,1
,,,NA44,,,,,7
,,,NA14,,,,,67
,,,NA020,,,,,94
,,,NA33,,,,,42
,,,NA11,,,,,15
,,,NA11,,,,,15
,,,NA210,,,,,84
,,,NA115,,,,,149
,,,NA312,,,,,37
,,,NA25,,,,,29
,,,NA22,,,,,1
,,,NA120,,,,,75
,,,NA55,,,,,48
,,,NA01,,,,,68
,,,NA11,,,,,15
,,,NA44,,,,,7
,,,NA11,,,,,15
,,,NA18,,,,,32
,,,NA11,,,,,15
,,,NA510,,,,,71
,,,NA33,,,,,42
,,,NA33,,,,,42
,,,NA22,,,,,1
,,,NA23,,,,,23
,,,NA510,,,,,71
,,,NA11,,,,,15
,,,NA22,,,,,1
,,,NA15,,,,,38
,,,NA01,,,,,68
,,,NA22,,,,,1
,,,NA525,,,,,169
,,,NA44,,,,,7
,,,NA210,,,,,84
,,,NA29,,,,,30
,,,NA47,,,,,104
,,,NA22,,,,,1
,,,NA33,,,,,42
,,,NA310,,,,,51
,,,NA23,,,,,23
,,,NA00,,,,,44
,,,NA01,,,,,68
,,,NA215,,,,,70
,,,NA12,,,,,146
,,,NA1010,,,,,11
,,,NA515,,,,,111
,,,NA33,,,,,42
,,,NA29,,,,,30
,,,NA11,,,,,15
,,,NA13,,,,,8
,,,NA00,,,,,44
,,,NA15,,,,,38
,,,NA014,,,,,133
,,,NA11,,,,,15
,,,NA05,,,,,55
,,,NA14,,,,,67
,,,NA24,,,,,28
,,,NA47,,,,,104
,,,NA44,,,,,7
,,,NA120,,,,,75
,,,NA615,,,,,49
,,,NA22,,,,,1
,,,NA09,,,,,69
,,,NA19,,,,,16
,,,NA111,,,,,170
,,,NA36,,,,,77
,,,NA13,,,,,8
,,,NA120,,,,,75
,,,NA00,,,,,44
,,,NA01,,,,,68
,,,NA35,,,,,2
,,,NA77,,,,,12
,,,NA014,,,,,133
,,,NA1515,,,,,19
,,,NA14,,,,,67
,,,NA18,,,,,32
,,,NA211,,,,,140
,,,NA39,,,,,102
,,,NA212,,,,,83
,,,NA24,,,,,28
,,,NA812,,,,,157
,,,NA18,,,,,32
,,,NA01,,,,,68
,,,NA2020,,,,,129
,,,NA22,,,,,1
,,,NA04,,,,,60
,,,NA00,,,,,44
,,,NA02,,,,,103
,,,NA12,,,,,146
,,,NA210,,,,,84
,,,NA00,,,,,44
,,,NA06,,,,,132
,,,NA1515,,,,,19
,,,NA110,,,,,40
,,,NA23,,,,,23
,,,NA312,,,,,37
,,,NA120,,,,,75
,,,NA315,,,,,100
,,,NA1316,,,,,171
,,,NA1314,,,,,172
,,,NA33,,,,,42
,,,NA11,,,,,15
,,,NA33,,,,,42
,,,NA66,,,,,24
,,,NA1116,,,,,173
,,,NA88,,,,,5
,,,NA310,,,,,51
,,,NA315,,,,,100
,,,NA11,,,,,15
,,,NA22,,,,,1
,,,NA310,,,,,51
,,,NA315,,,,,100
,,,NA125,,,,,174
,,,NA1215,,,,,156
,,,NA66,,,,,24
,,,NA415,,,,,92
,,,NA112,,,,,13
,,,NA03,,,,,85
,,,NA44,,,,,7
,,,NA03,,,,,85
,,,NA23,,,,,23
,,,NA119,,,,,98
,,,NA66,,,,,24
,,,NA712,,,,,27
,,,NA00,,,,,44
,,,NA14,,,,,67
,,,NA02,,,,,103
,,,NA215,,,,,70
,,,NA49,,,,,137
,,,NA1020,,,,,175
,,,NA00,,,,,44
,,,NA56,,,,,58
,,,NA68,,,,,141
,,,NA45,,,,,64
,,,NA06,,,,,132
,,,NA312,,,,,37
,,,NA2020,,,,,129
,,,NA13,,,,,8
,,,NA12,,,,,146
,,,NA614,,,,,176
,,,NA58,,,,,53
,,,NA117,,,,,152
,,,NA1010,,,,,11
,,,NA020,,,,,94
,,,NA422,,,,,177
,,,NA13,,,,,8
,,,NA13,,,,,8
,,,NA114,,,,,22
,,,NA110,,,,,40
,,,NA15,,,,,38
,,,NA01,,,,,68
,,,NA22,,,,,1
,,,NA11,,,,,15
,,,NA44,,,,,7
,,,NA57,,,,,4
,,,NA55,,,,,48
,,,NA1012,,,,,118
,,,NA1215,,,,,156
,,,NA1520,,,,,178
,,,NA47,,,,,104
,,,NA47,,,,,104
,,,NA730,,,,,167
,,,NA312,,,,,37
,,,NA68,,,,,141
,,,NA415,,,,,92
,,,NA36,,,,,77
,,,NA19,,,,,16
,,,NA22,,,,,1
,,,NA11,,,,,15
,,,NA37,,,,,80
,,,NA216,,,,,179
,,,NA110,,,,,40
,,,NA210,,,,,84
,,,NA29,,,,,30
,,,NA1418,,,,,180
,,,NA810,,,,,181
,,,NA55,,,,,48
,,,NA55,,,,,48
,,,NA15,,,,,38
,,,NA46,,,,,45
,,,NA15,,,,,38
,,,NA35,,,,,2
,,,NA216,,,,,179
,,,NA312,,,,,37
,,,NA15,,,,,38
,,,NA611,,,,,46
,,,NA22,,,,,1
,,,NA36,,,,,77
,,,NA36,,,,,77
,,,NA36,,,,,77
,,,NA07,,,,,33
,,,NA27,,,,,31
,,,NA27,,,,,31
,,,NA11,,,,,15
,,,NA55,,,,,48
,,,NA12,,,,,146
,,,NA11,,,,,15
,,,NA19,,,,,16
,,,NA112,,,,,13
,,,NA55,,,,,48
,,,NA34,,,,,73
,,,NA46,,,,,45
,,,NA511,,,,,72
,,,NA68,,,,,141
,,,NA1515,,,,,19
,,,NA27,,,,,31
,,,NA214,,,,,90
,,,NA00,,,,,44
,,,NA1010,,,,,11
,,,NA10,,,,,155
,,,NA03,,,,,85
,,,NA310,,,,,51
,,,NA57,,,,,4
,,,NA11,,,,,15
,,,NA111,,,,,170
,,,NA00,,,,,44
,,,NA42,,,,,182
,,,NA24,,,,,28
,,,NA210,,,,,84
,,,NA22,,,,,1
,,,NA312,,,,,37
,,,NA514,,,,,164
,,,NA77,,,,,12
,,,NA22,,,,,1
,,,NA11,,,,,15
,,,NA220,,,,,107
,,,NA014,,,,,133
,,,NA11,,,,,15
,,,NA22,,,,,1
